0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,labels
-529.3255615234375,56.663665771484375,-16.68997573852539,10.855888366699219,-11.516222953796387,-2.5079309940338135,-7.963574409484863,-9.494851112365723,-8.698104858398438,-0.03687926009297371,-6.5277276039123535,-0.4975427985191345,-8.345602989196777,3.2516820430755615,-8.341883659362793,-2.862527370452881,-6.170595169067383,-1.4222310781478882,-3.721226453781128,1.938148856163025,aggressive
-528.6667839526483,56.690040729386716,-16.431638500597217,10.951412526707582,-11.56158748658239,-2.5128752033001933,-8.027723855330798,-9.518232647766352,-8.810697899787197,-0.03219531736894958,-6.5295482012861035,-0.575520055175016,-8.415872535609846,3.185942950440367,-8.323993850520418,-2.8626772887362657,-6.197553526897645,-1.3759381697729771,-3.7275489571137825,2.0121453609242397,aggressive
-528.4713745117188,56.60347366333008,-16.651424407958984,10.787077903747559,-11.608965873718262,-2.510469436645508,-8.048535346984863,-9.513408660888672,-8.691832542419434,-0.051340602338314056,-6.483676910400391,-0.5424345135688782,-8.356569290161133,3.149357557296753,-8.330574035644531,-2.8680434226989746,-6.103362560272217,-1.3890339136123657,-3.7218689918518066,1.9927769899368286,aggressive
-524.5663452148438,46.049991607666016,-16.909631729125977,8.005425453186035,-15.289064407348633,-5.817219257354736,-12.548593521118164,-13.388479232788086,-13.296664237976074,-3.2579753398895264,-8.200780868530273,-7.511373043060303,-6.971085071563721,-0.9480481743812561,-13.977909088134766,-2.3520073890686035,-5.670923709869385,-1.0389697551727295,-4.687619209289551,4.8606858253479,aggressive
-285.48161024290494,11.317511658261079,0.9097123010278838,-0.1076023059349351,-4.040270708707614,-3.142000425732043,-4.016040742021043,-5.727442275268443,-4.273632117613043,-1.7869554835892,-2.34204078017852,-2.7639551614068925,-1.434092771153481,-1.7405632012379602,-4.723210896960928,-2.7610134654075793,-0.4939793231636934,-1.5307929865634915,-0.7384420142184489,1.2915414470861666,aggressive
-523.896484375,45.93533706665039,-16.842119216918945,7.962930202484131,-15.303068161010742,-5.794501304626465,-12.525283813476562,-13.40600872039795,-13.240440368652344,-3.3379526138305664,-8.170430183410645,-7.540608882904053,-6.950722694396973,-0.9350875020027161,-13.940836906433105,-2.3964476585388184,-5.633197784423828,-1.064613699913025,-4.678472518920898,4.881170749664307,aggressive
-578.7816772460938,55.583351135253906,-28.59787940979004,14.529802322387695,-9.815604209899902,-9.733731269836426,-16.221111297607422,-8.463773727416992,-11.442407608032227,3.5338544845581055,-13.033244132995605,-1.5004761219024658,-7.094681262969971,-5.331221103668213,-8.016721725463867,-3.321934700012207,-10.338536262512207,-4.121655464172363,-6.4463653564453125,-3.777226686477661,aggressive
-456.8759289529366,25.46402531493576,-7.422375668160886,1.3230894371217958,-4.964411140045764,-6.500843574777367,-7.21322894313695,-6.753834958555481,-5.9243471400823555,-1.3554907881858151,-6.5602830660665425,-2.671308251686627,-4.539038181877321,-5.3784028638969925,-3.493067181744744,-3.602601080963193,-5.631724573065216,-2.8031224374296007,-3.8359718558147637,-2.8539333889580862,aggressive
-577.8318481445312,55.46913146972656,-28.406068801879883,14.014303207397461,-9.593934059143066,-9.91808795928955,-16.04948616027832,-8.58371353149414,-11.340848922729492,3.436971426010132,-12.833426475524902,-1.57207453250885,-7.035665035247803,-5.445979118347168,-7.8908371925354,-3.522331953048706,-10.191706657409668,-4.170227527618408,-6.384970188140869,-3.679539203643799,aggressive
-528.1671752929688,66.7073974609375,-13.227975845336914,17.01947021484375,-7.07743501663208,0.1116316020488739,1.8164597749710083,-6.6678385734558105,-7.203586578369141,-0.7679129838943481,-7.369388580322266,-2.3160858154296875,-6.510937690734863,4.756256103515625,-4.553346633911133,0.25810888409614563,-1.5731983184814453,0.5383520126342773,-1.9456135034561157,4.360655784606934,aggressive
